ReviewID,EmployeeID,ReviewYear,ReviewDate,PerformanceRating,PerformanceScore,GoalAchievementPct,ManagerFeedback,SalaryIncreaseRecommended_Pct,PromotionRecommended,Department,Region,JobGrade,ReviewerID,SourceSystem,LoadDate
PERF-EMP-03310-2023,EMP-03310,2023,2023-12-15,Meets Expectations,3,84.4,"Exceptional year, exceeded all targets.",0.096,No,Finance,North America,G4,EMP-00881,Workday,2024-12-31
PERF-EMP-00952-2023,EMP-00952,2023,2023-12-15,Meets Expectations,3,82.3,Development needed in technical skills.,0.035,No,Technology,Middle East & Africa,G1,EMP-00720,Workday,2024-12-31
PERF-EMP-00952-2024,EMP-00952,2024,2024-12-15,Exceptional,5,100.9,"Exceptional year, exceeded all targets.",0.066,No,Technology,Middle East & Africa,G1,EMP-00720,Workday,2024-12-31
PERF-EMP-04136-2022,EMP-04136,2022,2022-12-15,Exceeds Expectations,4,96.1,Meets expectations across all KPIs.,0.062,Yes,Marketing,Europe,G7,EMP-01061,Workday,2024-12-31
PERF-EMP-04136-2023,EMP-04136,2023,2023-12-15,Exceeds Expectations,4,63.1,"Strong contributor, consistently delivers.",0.012,No,Marketing,Europe,G7,EMP-01061,Workday,2024-12-31
PERF-EMP-04136-2024,EMP-04136,2024,2024-12-15,Exceeds Expectations,4,77.6,Needs to improve stakeholder communication.,0.05,No,Marketing,Europe,G7,EMP-01061,Workday,2024-12-31
PERF-EMP-03518-2024,EMP-03518,2024,2024-12-15,Exceeds Expectations,4,63.6,"Exceptional year, exceeded all targets.",0.024,No,Internal Audit,Asia Pacific,G10,,Workday,2024-12-31
PERF-EMP-06195-2022,EMP-06195,2022,2022-12-15,Exceeds Expectations,4,80.6,"Strong contributor, consistently delivers.",0.111,Yes,Marketing,Middle East & Africa,G8,EMP-01665,Workday,2024-12-31
PERF-EMP-06195-2023,EMP-06195,2023,2023-12-15,Meets Expectations,3,91.1,"Exceptional year, exceeded all targets.",0.088,No,Marketing,Middle East & Africa,G8,EMP-01665,Workday,2024-12-31
PERF-EMP-06195-2024,EMP-06195,2024,2024-12-15,Needs Improvement,2,98.5,"Strong contributor, consistently delivers.",0.086,No,Marketing,Middle East & Africa,G8,EMP-01665,Workday,2024-12-31
PERF-EMP-04878-2022,EMP-04878,2022,2022-12-15,Meets Expectations,3,86.5,"Exceptional year, exceeded all targets.",0.061,No,Human Resources,Latin America,G5,EMP-00732,Workday,2024-12-31
PERF-EMP-04878-2023,EMP-04878,2023,2023-12-15,Meets Expectations,3,106.1,Development needed in technical skills.,0.012,No,Human Resources,Latin America,G5,EMP-00732,Workday,2024-12-31
PERF-EMP-04878-2024,EMP-04878,2024,2024-12-15,Exceptional,5,101.2,Development needed in technical skills.,0.063,Yes,Human Resources,Latin America,G5,EMP-00732,Workday,2024-12-31
PERF-EMP-02869-2022,EMP-02869,2022,2022-12-15,Meets Expectations,3,69.8,"Exceptional year, exceeded all targets.",0.033,No,Human Resources,North America,G3,EMP-00963,Workday,2024-12-31
PERF-EMP-02869-2023,EMP-02869,2023,2023-12-15,Needs Improvement,2,104.6,"Strong contributor, consistently delivers.",0.042,No,Human Resources,North America,G3,EMP-00963,Workday,2024-12-31
PERF-EMP-02869-2024,EMP-02869,2024,2024-12-15,Meets Expectations,3,106.5,Needs to improve stakeholder communication.,0.094,No,Human Resources,North America,G3,EMP-00963,Workday,2024-12-31
PERF-EMP-01717-2022,EMP-01717,2022,2022-12-15,Meets Expectations,3,61.7,"Strong contributor, consistently delivers.",0.055,No,Investment Banking,Latin America,G5,EMP-00057,Workday,2024-12-31
PERF-EMP-01717-2023,EMP-01717,2023,2023-12-15,Meets Expectations,3,74.6,Meets expectations across all KPIs.,0.03,No,Investment Banking,Latin America,G5,EMP-00057,Workday,2024-12-31
PERF-EMP-01717-2024,EMP-01717,2024,2024-12-15,Exceeds Expectations,4,114.5,"Strong contributor, consistently delivers.",0.048,Yes,Investment Banking,Latin America,G5,EMP-00057,Workday,2024-12-31
PERF-EMP-05195-2022,EMP-05195,2022,2022-12-15,Meets Expectations,3,67.1,Needs to improve stakeholder communication.,0.093,No,Finance,North America,G5,EMP-03293,Workday,2024-12-31
PERF-EMP-05195-2023,EMP-05195,2023,2023-12-15,Exceeds Expectations,4,70.1,Needs to improve stakeholder communication.,0.089,No,Finance,North America,G5,EMP-03293,Workday,2024-12-31
PERF-EMP-05195-2024,EMP-05195,2024,2024-12-15,Exceeds Expectations,4,100.2,Meets expectations across all KPIs.,0.067,Yes,Finance,North America,G5,EMP-03293,Workday,2024-12-31
PERF-EMP-04741-2022,EMP-04741,2022,2022-12-15,Exceeds Expectations,4,93.1,Development needed in technical skills.,0.021,No,Technology,Latin America,G7,EMP-03777,Workday,2024-12-31
PERF-EMP-04741-2023,EMP-04741,2023,2023-12-15,Meets Expectations,3,71.9,"Strong contributor, consistently delivers.",0.064,No,Technology,Latin America,G7,EMP-03777,Workday,2024-12-31
PERF-EMP-04741-2024,EMP-04741,2024,2024-12-15,Exceeds Expectations,4,112.5,"Exceptional year, exceeded all targets.",0.1,No,Technology,Latin America,G7,EMP-03777,Workday,2024-12-31
PERF-EMP-09617-2022,EMP-09617,2022,2022-12-15,Exceeds Expectations,4,111.9,"Exceptional year, exceeded all targets.",0.055,No,Operations,North America,G3,EMP-03240,Workday,2024-12-31
PERF-EMP-09617-2023,EMP-09617,2023,2023-12-15,Needs Improvement,2,94.6,Needs to improve stakeholder communication.,0.034,No,Operations,North America,G3,EMP-03240,Workday,2024-12-31
PERF-EMP-09617-2024,EMP-09617,2024,2024-12-15,Exceeds Expectations,4,91.8,"Strong contributor, consistently delivers.",0.02,No,Operations,North America,G3,EMP-03240,Workday,2024-12-31
PERF-EMP-08569-2022,EMP-08569,2022,2022-12-15,Meets Expectations,3,75.8,Needs to improve stakeholder communication.,0.096,Yes,Treasury,Middle East & Africa,G4,EMP-07125,Workday,2024-12-31
PERF-EMP-08569-2023,EMP-08569,2023,2023-12-15,Meets Expectations,3,79.5,Meets expectations across all KPIs.,0.081,No,Treasury,Middle East & Africa,G4,EMP-07125,Workday,2024-12-31
PERF-EMP-08569-2024,EMP-08569,2024,2024-12-15,Meets Expectations,3,117.9,"Strong contributor, consistently delivers.",0.055,Yes,Treasury,Middle East & Africa,G4,EMP-07125,Workday,2024-12-31
PERF-EMP-04865-2022,EMP-04865,2022,2022-12-15,Exceeds Expectations,4,85.0,"Strong contributor, consistently delivers.",0.079,No,Legal,North America,G2,EMP-01658,Workday,2024-12-31
PERF-EMP-04865-2023,EMP-04865,2023,2023-12-15,Meets Expectations,3,69.7,Development needed in technical skills.,0.009,No,Legal,North America,G2,EMP-01658,Workday,2024-12-31
PERF-EMP-04865-2024,EMP-04865,2024,2024-12-15,Meets Expectations,3,60.8,"Strong contributor, consistently delivers.",0.055,No,Legal,North America,G2,EMP-01658,Workday,2024-12-31
PERF-EMP-02730-2022,EMP-02730,2022,2022-12-15,Meets Expectations,3,80.4,Needs to improve stakeholder communication.,0.054,No,Technology,Europe,G1,EMP-00480,Workday,2024-12-31
PERF-EMP-02730-2023,EMP-02730,2023,2023-12-15,Exceeds Expectations,4,76.2,Development needed in technical skills.,0.073,No,Technology,Europe,G1,EMP-00480,Workday,2024-12-31
PERF-EMP-02632-2022,EMP-02632,2022,2022-12-15,Exceeds Expectations,4,72.9,"Strong contributor, consistently delivers.",0.016,Yes,Marketing,Europe,G6,EMP-01599,Workday,2024-12-31
PERF-EMP-02632-2023,EMP-02632,2023,2023-12-15,Exceeds Expectations,4,105.2,Development needed in technical skills.,0.096,Yes,Marketing,Europe,G6,EMP-01599,Workday,2024-12-31
PERF-EMP-02632-2024,EMP-02632,2024,2024-12-15,Meets Expectations,3,61.0,Meets expectations across all KPIs.,0.1,No,Marketing,Europe,G6,EMP-01599,Workday,2024-12-31
PERF-EMP-02576-2023,EMP-02576,2023,2023-12-15,Unsatisfactory,1,77.1,"Exceptional year, exceeded all targets.",0.073,No,Retail Banking,Europe,G3,EMP-00809,Workday,2024-12-31
PERF-EMP-02576-2024,EMP-02576,2024,2024-12-15,Meets Expectations,3,65.3,Development needed in technical skills.,0.026,No,Retail Banking,Europe,G3,EMP-00809,Workday,2024-12-31
PERF-EMP-04037-2022,EMP-04037,2022,2022-12-15,Needs Improvement,2,92.0,"Strong contributor, consistently delivers.",0.006,No,Technology,Europe,G2,EMP-00447,Workday,2024-12-31
PERF-EMP-04037-2023,EMP-04037,2023,2023-12-15,Exceeds Expectations,4,106.9,Development needed in technical skills.,0.013,No,Technology,Europe,G2,EMP-00447,Workday,2024-12-31
PERF-EMP-04037-2024,EMP-04037,2024,2024-12-15,Meets Expectations,3,61.1,"Strong contributor, consistently delivers.",0.1,No,Technology,Europe,G2,EMP-00447,Workday,2024-12-31
PERF-EMP-01020-2022,EMP-01020,2022,2022-12-15,Needs Improvement,2,87.6,"Exceptional year, exceeded all targets.",0.09,No,Wealth Management,Europe,G1,EMP-00743,Workday,2024-12-31
PERF-EMP-01020-2023,EMP-01020,2023,2023-12-15,Exceeds Expectations,4,88.4,Meets expectations across all KPIs.,0.097,Yes,Wealth Management,Europe,G1,EMP-00743,Workday,2024-12-31
PERF-EMP-01020-2024,EMP-01020,2024,2024-12-15,Meets Expectations,3,79.1,"Strong contributor, consistently delivers.",0.054,No,Wealth Management,Europe,G1,EMP-00743,Workday,2024-12-31
PERF-EMP-07348-2022,EMP-07348,2022,2022-12-15,Exceptional,5,116.8,Meets expectations across all KPIs.,0.09,No,Corporate Strategy,North America,G3,EMP-05361,Workday,2024-12-31
PERF-EMP-07348-2023,EMP-07348,2023,2023-12-15,Exceeds Expectations,4,96.9,Needs to improve stakeholder communication.,0.013,No,Corporate Strategy,North America,G3,EMP-05361,Workday,2024-12-31
PERF-EMP-07348-2024,EMP-07348,2024,2024-12-15,Unsatisfactory,1,81.5,"Exceptional year, exceeded all targets.",0.099,No,Corporate Strategy,North America,G3,EMP-05361,Workday,2024-12-31
PERF-EMP-04578-2022,EMP-04578,2022,2022-12-15,Meets Expectations,3,104.5,"Exceptional year, exceeded all targets.",0.021,Yes,Legal,Asia Pacific,G3,EMP-03502,Workday,2024-12-31
PERF-EMP-04578-2023,EMP-04578,2023,2023-12-15,Meets Expectations,3,86.7,"Exceptional year, exceeded all targets.",0.023,No,Legal,Asia Pacific,G3,EMP-03502,Workday,2024-12-31
PERF-EMP-09933-2024,EMP-09933,2024,2024-12-15,Meets Expectations,3,87.2,"Exceptional year, exceeded all targets.",0.01,No,Internal Audit,Europe,G5,EMP-07837,Workday,2024-12-31
PERF-EMP-09137-2023,EMP-09137,2023,2023-12-15,Meets Expectations,3,102.7,Meets expectations across all KPIs.,0.083,No,Treasury,North America,G6,EMP-03987,Workday,2024-12-31
PERF-EMP-09137-2024,EMP-09137,2024,2024-12-15,Exceeds Expectations,4,61.3,"Strong contributor, consistently delivers.",0.064,No,Treasury,North America,G6,EMP-03987,Workday,2024-12-31
PERF-EMP-00124-2022,EMP-00124,2022,2022-12-15,Exceeds Expectations,4,81.5,Needs to improve stakeholder communication.,0.016,No,Credit Risk,Asia Pacific,G2,EMP-00112,Workday,2024-12-31
PERF-EMP-00124-2023,EMP-00124,2023,2023-12-15,Exceeds Expectations,4,91.2,Needs to improve stakeholder communication.,0.036,Yes,Credit Risk,Asia Pacific,G2,EMP-00112,Workday,2024-12-31
PERF-EMP-00124-2024,EMP-00124,2024,2024-12-15,Meets Expectations,3,72.5,Meets expectations across all KPIs.,0.024,No,Credit Risk,Asia Pacific,G2,EMP-00112,Workday,2024-12-31
PERF-EMP-01693-2022,EMP-01693,2022,2022-12-15,Meets Expectations,3,78.5,Development needed in technical skills.,0.001,No,Risk & Compliance,Europe,G1,EMP-00150,Workday,2024-12-31
PERF-EMP-01693-2023,EMP-01693,2023,2023-12-15,Exceeds Expectations,4,108.3,Meets expectations across all KPIs.,0.002,No,Risk & Compliance,Europe,G1,EMP-00150,Workday,2024-12-31
PERF-EMP-01693-2024,EMP-01693,2024,2024-12-15,Exceeds Expectations,4,73.8,"Strong contributor, consistently delivers.",0.086,Yes,Risk & Compliance,Europe,G1,EMP-00150,Workday,2024-12-31
PERF-EMP-01615-2022,EMP-01615,2022,2022-12-15,Unsatisfactory,1,88.3,Meets expectations across all KPIs.,0.014,No,Internal Audit,Middle East & Africa,G5,EMP-00127,Workday,2024-12-31
PERF-EMP-01615-2023,EMP-01615,2023,2023-12-15,Exceptional,5,117.9,Meets expectations across all KPIs.,0.078,No,Internal Audit,Middle East & Africa,G5,EMP-00127,Workday,2024-12-31
PERF-EMP-01615-2024,EMP-01615,2024,2024-12-15,Exceeds Expectations,4,81.6,Needs to improve stakeholder communication.,0.076,No,Internal Audit,Middle East & Africa,G5,EMP-00127,Workday,2024-12-31
PERF-EMP-07262-2022,EMP-07262,2022,2022-12-15,Exceptional,5,66.8,Needs to improve stakeholder communication.,0.041,No,Retail Banking,Asia Pacific,G2,EMP-02199,Workday,2024-12-31
PERF-EMP-07262-2023,EMP-07262,2023,2023-12-15,Meets Expectations,3,76.8,"Strong contributor, consistently delivers.",0.012,No,Retail Banking,Asia Pacific,G2,EMP-02199,Workday,2024-12-31
PERF-EMP-07262-2024,EMP-07262,2024,2024-12-15,Meets Expectations,3,89.6,Development needed in technical skills.,0.019,Yes,Retail Banking,Asia Pacific,G2,EMP-02199,Workday,2024-12-31
PERF-EMP-00318-2022,EMP-00318,2022,2022-12-15,Exceeds Expectations,4,97.6,"Strong contributor, consistently delivers.",0.02,No,Treasury,North America,G7,EMP-00247,Workday,2024-12-31
PERF-EMP-00318-2023,EMP-00318,2023,2023-12-15,Meets Expectations,3,95.3,Meets expectations across all KPIs.,0.079,No,Treasury,North America,G7,EMP-00247,Workday,2024-12-31
PERF-EMP-00318-2024,EMP-00318,2024,2024-12-15,Meets Expectations,3,65.6,Development needed in technical skills.,0.081,No,Treasury,North America,G7,EMP-00247,Workday,2024-12-31
PERF-EMP-09449-2022,EMP-09449,2022,2022-12-15,Meets Expectations,3,77.0,Development needed in technical skills.,0.052,No,Finance,Europe,G1,EMP-00749,Workday,2024-12-31
PERF-EMP-09449-2023,EMP-09449,2023,2023-12-15,Meets Expectations,3,104.8,"Exceptional year, exceeded all targets.",0.011,Yes,Finance,Europe,G1,EMP-00749,Workday,2024-12-31
PERF-EMP-09449-2024,EMP-09449,2024,2024-12-15,Exceeds Expectations,4,62.4,Development needed in technical skills.,0.071,No,Finance,Europe,G1,EMP-00749,Workday,2024-12-31
PERF-EMP-05465-2022,EMP-05465,2022,2022-12-15,Meets Expectations,3,75.0,"Exceptional year, exceeded all targets.",0.06,No,Credit Risk,Europe,G6,EMP-03456,Workday,2024-12-31
PERF-EMP-05465-2024,EMP-05465,2024,2024-12-15,Meets Expectations,3,98.1,Development needed in technical skills.,0.107,No,Credit Risk,Europe,G6,EMP-03456,Workday,2024-12-31
PERF-EMP-00826-2022,EMP-00826,2022,2022-12-15,Exceptional,5,97.4,Meets expectations across all KPIs.,0.01,Yes,Wealth Management,Asia Pacific,G5,EMP-00297,Workday,2024-12-31
PERF-EMP-00826-2023,EMP-00826,2023,2023-12-15,Meets Expectations,3,108.5,Development needed in technical skills.,0.058,No,Wealth Management,Asia Pacific,G5,EMP-00297,Workday,2024-12-31
PERF-EMP-00826-2024,EMP-00826,2024,2024-12-15,Exceptional,5,85.0,Needs to improve stakeholder communication.,0.082,No,Wealth Management,Asia Pacific,G5,EMP-00297,Workday,2024-12-31
PERF-EMP-02892-2022,EMP-02892,2022,2022-12-15,Unsatisfactory,1,83.2,Needs to improve stakeholder communication.,0.027,No,Internal Audit,North America,G2,EMP-02338,Workday,2024-12-31
PERF-EMP-02892-2023,EMP-02892,2023,2023-12-15,Exceptional,5,72.7,Development needed in technical skills.,0.014,No,Internal Audit,North America,G2,EMP-02338,Workday,2024-12-31
PERF-EMP-02892-2024,EMP-02892,2024,2024-12-15,Meets Expectations,3,67.2,"Exceptional year, exceeded all targets.",0.017,No,Internal Audit,North America,G2,EMP-02338,Workday,2024-12-31
PERF-EMP-05372-2022,EMP-05372,2022,2022-12-15,Exceeds Expectations,4,107.2,Development needed in technical skills.,0.084,No,Finance,Middle East & Africa,G6,EMP-04754,Workday,2024-12-31
PERF-EMP-05372-2023,EMP-05372,2023,2023-12-15,Meets Expectations,3,83.1,Development needed in technical skills.,0.09,No,Finance,Middle East & Africa,G6,EMP-04754,Workday,2024-12-31
PERF-EMP-05372-2024,EMP-05372,2024,2024-12-15,Meets Expectations,3,106.6,"Strong contributor, consistently delivers.",0.061,No,Finance,Middle East & Africa,G6,EMP-04754,Workday,2024-12-31
PERF-EMP-01159-2022,EMP-01159,2022,2022-12-15,Exceptional,5,117.0,Development needed in technical skills.,0.001,No,Risk & Compliance,North America,G2,EMP-01074,Workday,2024-12-31
PERF-EMP-01159-2023,EMP-01159,2023,2023-12-15,Meets Expectations,3,105.7,"Exceptional year, exceeded all targets.",0.066,No,Risk & Compliance,North America,G2,EMP-01074,Workday,2024-12-31
PERF-EMP-01159-2024,EMP-01159,2024,2024-12-15,Unsatisfactory,1,94.8,Development needed in technical skills.,0.03,No,Risk & Compliance,North America,G2,EMP-01074,Workday,2024-12-31
PERF-EMP-05193-2022,EMP-05193,2022,2022-12-15,Exceeds Expectations,4,94.8,Meets expectations across all KPIs.,0.117,No,Data & Analytics,North America,G4,EMP-02295,Workday,2024-12-31
PERF-EMP-05193-2023,EMP-05193,2023,2023-12-15,Meets Expectations,3,94.0,Meets expectations across all KPIs.,0.058,No,Data & Analytics,North America,G4,EMP-02295,Workday,2024-12-31
PERF-EMP-05193-2024,EMP-05193,2024,2024-12-15,Meets Expectations,3,101.2,Meets expectations across all KPIs.,0.043,No,Data & Analytics,North America,G4,EMP-02295,Workday,2024-12-31
PERF-EMP-00870-2022,EMP-00870,2022,2022-12-15,Meets Expectations,3,69.1,"Exceptional year, exceeded all targets.",0.053,No,Operations,North America,G2,EMP-00613,Workday,2024-12-31
PERF-EMP-00870-2023,EMP-00870,2023,2023-12-15,Exceeds Expectations,4,85.0,"Strong contributor, consistently delivers.",0.095,No,Operations,North America,G2,EMP-00613,Workday,2024-12-31
PERF-EMP-00870-2024,EMP-00870,2024,2024-12-15,Meets Expectations,3,72.1,Development needed in technical skills.,0.026,No,Operations,North America,G2,EMP-00613,Workday,2024-12-31
PERF-EMP-07285-2023,EMP-07285,2023,2023-12-15,Meets Expectations,3,105.7,"Strong contributor, consistently delivers.",0.018,No,Credit Risk,Europe,G4,EMP-06880,Workday,2024-12-31
PERF-EMP-05157-2022,EMP-05157,2022,2022-12-15,Meets Expectations,3,85.6,"Exceptional year, exceeded all targets.",0.097,No,Finance,Europe,G2,EMP-03195,Workday,2024-12-31
PERF-EMP-05157-2023,EMP-05157,2023,2023-12-15,Exceptional,5,97.3,Development needed in technical skills.,0.111,No,Finance,Europe,G2,EMP-03195,Workday,2024-12-31
PERF-EMP-09652-2022,EMP-09652,2022,2022-12-15,Meets Expectations,3,86.7,"Strong contributor, consistently delivers.",0.01,No,Credit Risk,Latin America,G1,EMP-04573,Workday,2024-12-31
PERF-EMP-09652-2023,EMP-09652,2023,2023-12-15,Exceeds Expectations,4,101.7,Meets expectations across all KPIs.,0.105,No,Credit Risk,Latin America,G1,EMP-04573,Workday,2024-12-31
PERF-EMP-09652-2024,EMP-09652,2024,2024-12-15,Needs Improvement,2,81.0,"Exceptional year, exceeded all targets.",0.071,No,Credit Risk,Latin America,G1,EMP-04573,Workday,2024-12-31
PERF-EMP-06235-2022,EMP-06235,2022,2022-12-15,Exceeds Expectations,4,104.8,Development needed in technical skills.,0.005,Yes,Risk & Compliance,North America,G9,EMP-04222,Workday,2024-12-31
